id,name,bio,Gender,Job,House,Wand,Patronus,Species,Blood status,Hair colour,Eye colour,Loyalty,Skills,Birth,Death
37,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,Male,Auror ,,Unknown,Non-corporeal,Human,Pure-blood,Grey,"One dark, one electric blue",Order of the Phoenix,"A highly accomplished Auror and an outstanding duellist, also skilled in non-verbal magic",Pre 1960,"27 July, 1997"
38,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,Male,The Servant of Lord Voldemort,Gryffindor,"9¼"" Chestnut dragon heartstring",None,Human,Half-blood or pure-blood,Colourless and balding,Blue,Lord Voldemort| Death Eaters,Animagus,1 September 1959- 31 August 1960,Late March 1998
39,Harry Potter,The boy who lived. Main character of the series.,Male,Student,Gryffindor,"11""  Holly  phoenix feather",Stag,Human,Half-blood,Black,Bright green,Albus Dumbledore | Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Parseltongue| Defence Against the Dark Arts | Seeker,31 July 1980,
40,James Potter,Father of Harry. Murdered by Voldemort.,Male,,Gryffindor,"11""  Mahogany  unknown core",Stag,Human,Pure-blood,Black,Hazel,Order of the Phoenix,Animagus| Seeker,"27 March, 1960","31 October, 1981"
41,Lily Potter,Mother of Harry. Murdered by Voldemort.,Female,,Gryffindor,"10¼""  Willow  unknown core",Doe,Human,Muggle-born,Auburn,Bright green,Order of the Phoenix,,"30 January, 1960 ","31 October, 1981"
42,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,Male,Defence Against the Dark Arts(1991-1992),Ravenclaw,"9"" Alder unicorn hair bendy",Non-corporeal,Human,Half-blood,,,Lord Voldemort,Learned in the theory of Defensive Magic| less adept in the practise,"26 September,1970 or earlier",4 June 1992
43,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.,Male,,,,,Human,,,,,,1900,
44,Mary Riddle,Muggle mother of Voldemort who was killed by him.,Female,,,,,Human,,,,,,1901,
45,Lord Voldemort,The antagonist of the series who murdered many.,Male,Student,Slytherin,"13½"" Yew phoenix feather core",Unknown,Human,Half-blood,Bald,Scarlet ,,"Dark Lord, Outstanding manipulation, Parseltongue, Heir of Slytherin, Dark magic, Inferi creation and control",31 December 1926,"2 May, 1998"
46,Rita Skeeter,Reporter at the Daily Prophet.,Female,,,,,Human,Muggle,,,,,,
47,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,Male,Professor of Potions | Head of Slytherin,Slytherin,Unknown,Doe,Human,Half-blood,Black,Black,,Extremely skilled at potions and Occlumency,9 January 1960,"2 May, 1998"
48,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.,Female,Auror,Hufflepuff,Unknown,"Jack rabbit, Wolf",Human,Half-blood,Variable,Variable,Ministry of Magic | Order of the Phoenix,"Talented Auror, Metamorphmagus", 1 September 1972- 31 August 1973,"2 May, 1998"
49,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,Female,Professor of Defence Against the Dark Arts | Department of Magical Law Enforcement,Slytherin,"8"" Birch dragon heartstring",Cat,Human,Half-blood,Iron grey,,Ministry of Magic,Her punishment quill is of her own invention,26 August,
50,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,Male,Head of the Misuse of Muggle Artefacts Office,Gryffindor,Unknown,Weasel,Human,Pure-blood,Red,Green,Order of the Phoenix| British Ministry of Magic,Muggle world works,"6 February, 1950",
51,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,Male,Curse-Breaker for Gringotts Bank,Gryffindor,Unknown,Unknown,Human (Werewolf traits),Pure-blood,Red,Blue,Order of the Phoenix,Highly skilled curse-breaker for Gringotts Wizarding Bank| very intelligent| past Hogwarts Head Boy,"29 November, 1970",
52,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,Male,Dragonologist,Gryffindor,"12""  Ash unicorn tail hair",Unknown,Human,Pure-blood,Red,Grey,Order of the Phoenix | Gringotts Wizarding Bank,Highly skilled dragon trainer| one-time Gryffindor Seeker,"12 December, 1972",
53,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater,"1 April, 1978 ","2 May, 1998"
54,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater," 1 April, 1978 ",
55,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.,Female,Student,Gryffindor,Unknown,Horse,Human,Pure-blood,Red,Bright brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Chaser| Bat-Bogey hex,"11 August, 1981",
56,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.,Female,,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Bright brown,Order of the Phoenix,Household spells| healing magic,"30 October, 1949 ",
57,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.,Male,Student|Prefect|  Personal assistant to Barty Crouch Snr ,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Blue,Order of the Phoenix| Hogwarts School of Witchcraft and Wizardry |British Ministry of Magic,Intelligent| hard-working| a model student,"22 August, 1976 ",
58,Ron Weasley,Harry's best friend. Marries Hermione.,Male,Student,Gryffindor,"12"" Ash unicorn tail hair ",Jack Russell terrier,Human,Pure-blood,Red,Blue,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Wizard chess | Quidditch goalkeeping,1 March 1980,
59,Dobby,House elf and friend of Harry. He is killed by Bellatrix.,Male,"Malfoy family's house-elf, Hogwarts kitchens worker",,,,House elf,,Green,,,"A type of magic specific to house-elves, performed without a wand which includes the ability to apparate, disarm and make objects levitate",28 June,"Late March, 1998"
60,Fluffy,Three-headed dog belonging to Rubeus Hagrid.,Male,,,,,Animal,,,,,,,
61,Hedwig,Harry's owl.,Female,,,,,Animal,,,,,,,
62,Moaning Myrtle,Ghost at Hogwards.,Female,Student,Ravenclaw,Unknown,Unknown,Ghost,Muggle-born,,,,,14 June 1928 -13 June 1929,"13 June, 1943"
63,Aragog,Acromantula belonging to Rubeus Hagrid.,Male,,,,,Animal,,,,,,,
64,Grawp,Giant-half brother of Hagrid.,Male,,,,,,Muggle,,,,,,
